Both Longevity,Fixed?,
HUM152A,y,
HUM254A,y,
HUM298_A,y,
HUM55B,y,
OSM34A,y,
TEMP1054A,y,
TEMP1150A,y,
TEMP1177A,y,
TEMP1177B,y,
TEMP1177C,y,
TEMP1177D,y,
TEMP1302B,y,no reproduction available
TEMP1361B,y,all female
TEMP1492A,y,
TEMP1893_B,y,
TEMP1893_A,y,
TEMP1894_A,y,
TEMP1954_A,y,
TEMP1954_B,y,
TEMP1954_C,y,
TEMP1954_D,y,
TEMP1964B,y,all female
TEMP1965C,y,sam exp all femle
TEMP1965A,y,same exp and all female
TEMP2012,y,
TEMP2081A,y,
TEMP2081B,y,
TEMP2081C,y,
TEMP2081D,y,
TEMP2096A,y,
TEMP2102A,y,
TEMP2103A,y,
TEMP2236A,y,
TEMP2293A,y,
TEMP286_A,y,
TEMP286_B,y,
TEMP378A,y,
TEMP384A,y,
TEMP408B,y,
TEMP548B,y,
TEMP629A,y,
TEMP698A,y,
TEMP698B,y,
TEMP800A,y,
TEMP813A,y,
TEMP1157_5,y,
TEMP1781_2,y,
TEMP490_4,y,
TEMP638_3,y,
TEMP791_3,y,
